Artifact Creator | Short Id | Miner algo | Log | Miner Duration | Estimator Duration | LOG_EVENT_COUNT | LOG_TRACE_COUNT | MODEL_ENTITY_COUNT | MODEL_EDGE_COUNT | EARTH_MOVERS_LIGHT_COVERAGE | ENTROPY_PRECISION | ENTROPY_RECALL | Run file | Machine | 
Activity Pair Left-Handed Estimator | aplh-split | split | BPIC2018 reference | 968 | 3124 | 128554 | 43802 | 26 | 32 | 0.6108210398283829 | 0.615942277559753 | 0.8566024738951636 | mrun_aplh-split_BPIC2018_reference.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-split | split | BPIC2018 reference | 968 | 3108 | 128554 | 43802 | 26 | 32 | 0.6729802189621606 | 0.5900859965593551 | 0.8566024738951636 | mrun_aprh-split_BPIC2018_reference.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-split | split | BPIC2018 reference | 968 | 3187 | 128554 | 43802 | 26 | 32 | 0.6108210398283829 | 0.5966819418769644 | 0.8566024738951636 | mrun_bce-split_BPIC2018_reference.xml | SEF-1953019678 | 
Frequency Estimator | fe-split | split | BPIC2018 reference | 968 | 3125 | 128554 | 43802 | 26 | 32 | 0.6108210398283829 | 0.5966819418769643 | 0.8566024738951636 | mrun_fe-split_BPIC2018_reference.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-split | split | BPIC2018 reference | 968 | 3218 | 128554 | 43802 | 26 | 32 | 0.9604133174161054 | 0.38918499685276875 | 0.8566024738951636 | mrun_msaprh-split_BPIC2018_reference.xml | SEF-1953019678 | 
Alignment | align-fodina | fodina | Sepsis | 47 | 641 | 15214 | 1050 | 64 | 82 | 7.2177499532699585E-9 | FAILED | FAILED | mrun_align-fodina_sepsis.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-fodina | fodina | Sepsis | 47 | 110 | 15214 | 1050 | 64 | 82 | 0.5002435352820989 | FAILED | FAILED | mrun_aplh-fodina_sepsis.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-fodina | fodina | Sepsis | 47 | 109 | 15214 | 1050 | 64 | 82 | 0.4998448753527883 | FAILED | FAILED | mrun_aprh-fodina_sepsis.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-fodina | fodina | Sepsis | 47 | 110 | 15214 | 1050 | 64 | 82 | FAILED | FAILED | FAILED | mrun_bce-fodina_sepsis.xml | SEF-1953019678 | 
Frequency Estimator | fe-fodina | fodina | Sepsis | 47 | 126 | 15214 | 1050 | 64 | 82 | 0.4973600749911673 | FAILED | FAILED | mrun_fe-fodina_sepsis.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-fodina | fodina | Sepsis | 47 | 109 | 15214 | 1050 | 64 | 82 | 0.49205782660249564 | FAILED | FAILED | mrun_msaprh-fodina_sepsis.xml | SEF-1953019678 | 
Alignment | align-inductive | inductive | Sepsis | 172 | 1421 | 15214 | 1050 | 47 | 62 | 7.2177499532699585E-9 | 0.27793384992213627 | 0.7541885216357355 | mrun_align-inductive_sepsis.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-inductive | inductive | Sepsis | 172 | 141 | 15214 | 1050 | 47 | 62 | FAILED | FAILED | FAILED | mrun_aplh-inductive_sepsis.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-inductive | inductive | Sepsis | 172 | 125 | 15214 | 1050 | 47 | 62 | FAILED | FAILED | FAILED | mrun_aprh-inductive_sepsis.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-inductive | inductive | Sepsis | 172 | 125 | 15214 | 1050 | 47 | 62 | FAILED | FAILED | FAILED | mrun_bce-inductive_sepsis.xml | SEF-1953019678 | 
Frequency Estimator | fe-inductive | inductive | Sepsis | 172 | 172 | 15214 | 1050 | 47 | 62 | FAILED | FAILED | FAILED | mrun_fe-inductive_sepsis.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-inductive | inductive | Sepsis | 172 | 125 | 15214 | 1050 | 47 | 62 | RUNNING | 0.1325273549168242 | 0.7939168974255368 | mrun_msaprh-inductive_sepsis.xml | SEF-1953019678 | 
Rogge-Solti Discovery | rssmt | rssmt | Sepsis | 0 | 0 | 11788 | 1050 | FAILED | FAILED | FAILED | FAILED | FAILED | mrun_rssmt_sepsis.xml | SEF-1953019678 | 
Alignment | align-split | split | Sepsis | 968 | 1765 | 15214 | 1050 | 52 | 66 | 0.3644605775985834 | 0.11341992182753317 | 0.2023799441243126 | mrun_align-split_sepsis.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-split | split | Sepsis | 968 | 94 | 15214 | 1050 | 52 | 66 | 0.5391555805738873 | 0.11672195725898321 | 0.2023799441243126 | mrun_aplh-split_sepsis.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-split | split | Sepsis | 968 | 93 | 15214 | 1050 | 52 | 66 | 0.5466629684200718 | 0.11909978489608153 | 0.2023799441243126 | mrun_aprh-split_sepsis.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-split | split | Sepsis | 968 | 125 | 15214 | 1050 | 52 | 66 | 0.542970411571094 | 0.11767425481966964 | 0.2023799441243126 | mrun_bce-split_sepsis.xml | SEF-1953019678 | 
Frequency Estimator | fe-split | split | Sepsis | 968 | 94 | 15214 | 1050 | 52 | 66 | 0.5499061721902738 | 0.11767425481966966 | 0.2023799441243126 | mrun_fe-split_sepsis.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-split | split | Sepsis | 968 | 109 | 15214 | 1050 | 52 | 66 | FAILED | 0.04721128939679433 | 0.2023799441243126 | mrun_msaprh-split_sepsis.xml | SEF-1953019678 | 

